ID	ID1	ID2	chr1	start1	stop1	direction1	chr2	start2	stop2	direction2	synteny_dir	org2
36	hg38.chr1:38321277-41701012	rn5.chr5:142729966-145867552	1	38321277	41701012	+	5	142729966	145867552	-	2-1-m1	rn5
36	hg38.chr1:41702802-41880045	rn5.chr5:145899851-146051142	1	41702802	41880045	+	5	145899851	146051142	-	1-2-	rn5
37	hg38.chr1:68476125-68794329	rn5.chr2:283126187-283407464	1	68476125	68794329	+	2	283126187	283407464	-	2-1-m1	rn5
37	hg38.chr1:68907062-70362330	rn5.chr2:283419824-284714888	1	68907062	70362330	+	2	283419824	284714888	-	1-2-	rn5
38	hg38.chr1:218947090-221213245	rn5.chr13:107039372-108884116	1	218947090	221213245	+	13	107039372	108884116	-	2-1-m1	rn5
38	hg38.chr1:221213245-221790033	rn5.chr13:108892869-109322890	1	221213245	221790033	+	13	108892869	109322890	-	1-2-	rn5
71	hg38.chr1:908205-12669216	oviAri3.chr12:39188862-49637067	1	908205	12669216	+	12	39188862	49637067	-	NA	oviAri3
71	hg38.chr1:13415987-15966028	oviAri3.chr12:49682176-52252377	1	13415987	15966028	+	12	49682176	52252377	-	1-2-	oviAri3
17	hg38.chr10:46265274-46686083	bosTau8.chr28:42007638-42478653	10	46265274	46686083	+	28	42007638	42478653	-	NA	bosTau8
17	hg38.chr10:46870210-47421550	bosTau8.chr28:42531651-42957948	10	46870210	47421550	+	28	42531651	42957948	-	1-2-	bosTau8
18	hg38.chr10:64348779-64788467	bosTau8.chr28:20491589-20948881	10	64348779	64788467	+	28	20491589	20948881	-	1+2-	bosTau8
18	hg38.chr10:64789832-65234905	bosTau8.chr28:21053949-21505792	10	64789832	65234905	+	28	21053949	21505792	-	1-2-	bosTau8
28	hg38.chr10:46286512-46686104	canFam3.chr4:34677258-34917333	10	46286512	46686104	+	4	34677258	34917333	-	NA	canFam3
28	hg38.chr10:47126472-47421536	canFam3.chr4:34932942-35139254	10	47126472	47421536	+	4	34932942	35139254	-	1-2-	canFam3
52	hg38.chr10:27719977-28256197	rn5.chr17:61827890-62357772	10	27719977	28256197	+	17	61827890	62357772	-	1+2-	rn5
52	hg38.chr10:28278137-28624637	rn5.chr17:62658569-63036502	10	28278137	28624637	+	17	62658569	63036502	-	1-2-	rn5
63	hg38.chr10:46302541-46462713	monDom5.chr1:66583995-66799879	10	46302541	46462713	+	1	66583995	66799879	-	NA	monDom5
63	hg38.chr10:46870699-47368882	monDom5.chr1:66917933-67816559	10	46870699	47368882	+	1	66917933	67816559	-	1-2-	monDom5
78	hg38.chr10:46286512-46686083	oviAri3.chr25:41275645-41598854	10	46286512	46686083	+	25	41275645	41598854	-	NA	oviAri3
78	hg38.chr10:46870210-47421538	oviAri3.chr25:41765760-42184224	10	46870210	47421538	+	25	41765760	42184224	-	1-2-	oviAri3
79	hg38.chr10:64264468-64788470	oviAri3.chr25:20281786-20804580	10	64264468	64788470	+	25	20281786	20804580	-	1+2-	oviAri3
79	hg38.chr10:64789829-65234905	oviAri3.chr25:20807906-21282459	10	64789829	65234905	+	25	20807906	21282459	-	1-2-	oviAri3
16	hg38.chr11:94503321-106102307	bosTau8.chr15:1771553-16313583	11	94503321	106102307	+	15	1771553	16313583	-	1+2-	bosTau8
16	hg38.chr11:106646312-107458766	bosTau8.chr15:16341754-17154984	11	106646312	107458766	+	15	16341754	17154984	-	1-2-	bosTau8
27	hg38.chr11:30269535-44057894	canFam3.chr18:25785249-37025366	11	30269535	44057894	+	18	25785249	37025366	-	NA	canFam3
27	hg38.chr11:44058285-59751874	canFam3.chr18:37033722-45167091	11	44058285	59751874	+	18	37033722	45167091	-	1-2-	canFam3
51	hg38.chr11:40440267-40721073	rn5.chr3:92454715-92735323	11	40440267	40721073	+	3	92454715	92735323	-	2-1-m1	rn5
51	hg38.chr11:40745431-41125125	rn5.chr3:92750718-93098805	11	40745431	41125125	+	3	92750718	93098805	-	1-2-	rn5
62	hg38.chr11:76191556-87369659	monDom5.chr4:323359915-338483688	11	76191556	87369659	+	4	323359915	338483688	-	2-1-m1	monDom5
62	hg38.chr11:87371337-89698731	monDom5.chr4:338633816-341751103	11	87371337	89698731	+	4	338633816	341751103	-	1-2-	monDom5
77	hg38.chr11:94503321-106103437	oviAri3.chr15:1104801-15528956	11	94503321	106103437	+	15	1104801	15528956	-	1+2-	oviAri3
77	hg38.chr11:106659870-107458430	oviAri3.chr15:15548796-16296692	11	106659870	107458430	+	15	15548796	16296692	-	1-2-	oviAri3
19	hg38.chr12:38651903-54859347	bosTau8.chr5:25453765-42698694	12	38651903	54859347	+	5	25453765	42698694	-	NA	bosTau8
19	hg38.chr12:54941417-70954322	bosTau8.chr5:42803080-60305177	12	54941417	70954322	+	5	42803080	60305177	-	1-2-	bosTau8
53	hg38.chr12:87490238-88268023	rn5.chr7:40181179-40911520	12	87490238	88268023	+	7	40181179	40911520	-	2-1-m1	rn5
53	hg38.chr12:88270531-89908118	rn5.chr7:40952858-42531304	12	88270531	89908118	+	7	40952858	42531304	-	1-2-	rn5
64	hg38.chr12:7788431-8098058	monDom5.chr8:104397643-104633263	12	7788431	8098058	+	8	104397643	104633263	-	NA	monDom5
64	hg38.chr12:8579389-9120813	monDom5.chr8:104680473-105198972	12	8579389	9120813	+	8	104680473	105198972	-	1-2-	monDom5
65	hg38.chr12:65545753-66379458	monDom5.chr8:32149896-33294089	12	65545753	66379458	+	8	32149896	33294089	-	NA	monDom5
65	hg38.chr12:66823944-67898260	monDom5.chr8:34071744-35374815	12	66823944	67898260	+	8	34071744	35374815	-	1-2-	monDom5
80	hg38.chr12:38651903-54763988	oviAri3.chr3:131666685-148514897	12	38651903	54763988	+	3	131666685	148514897	-	NA	oviAri3
80	hg38.chr12:54941434-70955011	oviAri3.chr3:148634122-164989431	12	54941434	70955011	+	3	148634122	164989431	-	1-2-	oviAri3
